pid,title,handle,cat,type,abv,seimai,smv,acid,taste_tag,amakara,nodan,aroma,sanmi,kire,inv
7064674631889,送料１２：沖縄,送料-12,sake,,,,,,,3,3,2,3,3,0
7064684527825,送料１０：福岡・佐賀・大分・長崎,送料-11,sake,,,,,,,3,3,2,3,3,0
7064694882513,送料：クール便,クール便,sake,,,,,,,3,3,2,3,3,0
7064795447505,酒粕　５Kg,酒粕-５kg,sake,,,,,,,3,3,2,3,3,0
7069570040017,新・ほおずき　300ml,新-ほおずき-300ml,sake,,,,,,,3,3,2,3,3,0
7069579575505,300ml用化粧箱（2本入れ）,300ml-2本入れ箱,goods,,,,,,,,,,,,0
7137590771921,720ml用化粧箱（2本入れ／店頭用）,店頭-720ml２本入れ,goods,,,,,,,,,,,,0
7148113068241,手提げ袋,giftbag,sake,,,,,,,3,3,2,3,3,0
7157006926033,白笹鼓　５銘柄飲み比べスターターキット（※箱付き）,79,goods,大吟醸,15度,45%,,,,,,,,,7
7162560577745,【店頭用】大吟・若水 セット,店頭用-大吟-若水-セット,sake,,,,,,,3,3,2,3,3,0
7233792180433,ササノネ　湘南ゴールド（和リキュール）,85,other-alc,リキュール,9度,,,,,,,,,,0
7240420229329,熨斗・包装,noshi,sake,,,,,,,3,3,2,3,3,0
7253282914513,ササノメグリ　碧笹,87,sake,特別純米酒／純米酒,12度,65%,,,,3,3,3,3,3,30
7317834858705,蔵元直詰　秦野の酒粕,89,sake,その他,,,,,,3,3,2,3,3,0
7329516749009,ミライザケ テロワール純米吟醸原酒 大地 2026,90,sake,原酒,16度,55%,,,,3,3,4,3,3,62
7329517437137,ミライザケ テロワール純米吟醸 詩歌 2026,91,sake,純米吟醸酒,14度,55%,,,,3,3,4,3,3,63
7353060294865,ササノシラベ 春笹うすにごり 純米吟醸生 2026,92,sake,純米吟醸酒（生）,15度,60%,,,,4,3,4,3,4,10
7398497845457,黒笹 Revive 純米吟醸 2026,94,sake,純米吟醸酒,15度,60%,,,,3,3,4,3,4,76
7398498959569,黒笹 Eden 純米吟醸 2026,93,sake,純米吟醸酒,15度,60%,,,,3,3,4,3,3,58
7428654694609,夏笹しゅわり 純米発泡生2026,95,sake,純米酒（瓶内二次発酵生）,12度,65%,,,,3,3,3,3,3,52
7516625305809,黒笹Classic 特別純米,99,sake,特別純米酒,14度,65%,,,,3,3,3,3,3,18
7575615373521,SAKE for Highball（数量限定）,101,sake,清酒,16度,70%,,,,3,3,2,3,3,55
7610707116241,ミライザケ奏炎 -2025- 辛口特別純米,102,sake,特別純米酒,15度,65%,,,,4,3,3,3,5,72
7612870918353,ササノメグリ　緋笹（数量限定）,103,sake,,13度,65%,,,,3,3,2,3,3,0
7640736661713,クラッチュ 湘南潮彩レモン40,105,other-alc,リキュール,25度,,,,,,,,,,61
